session_id,timestamp,device_model,firmware_version,satellite_id,ground_station_id,service_type,snr_db,elevation_degrees,handshake_latency_ms,packet_drop_rate
SES-100000,2026-08-06 09:42:36,iPhone 16 Pro,v18.2.0-b2,GS-LEO-08,GS-CA-B,Messages_Satellite,11.6,74.3,837.0,0.0295
SES-100001,2026-08-02 05:08:22,Watch Ultra 3,v18.2.0-b2,GS-LEO-09,GS-CA-B,FindMy_Ping,8.09,68.7,1017.0,0.2009
SES-100002,2026-08-14 08:25:56,iPhone 17 Pro,v18.2.0-b2,GS-LEO-22,GS-TX-A,Messages_Satellite,7.16,24.1,3177.0,0.0259
SES-100003,2026-08-12 21:19:10,iPhone 17 Pro,v18.2.0-b2,GS-LEO-10,GS-TX-A,FindMy_Ping,18.69,18.4,2358.0,0.0872
SES-100004,2026-08-11 20:03:33,iPhone 15 Pro,v18.2.0-b2,GS-LEO-11,GS-CA-B,Emergency_SOS,9.62,25.7,906.0,0.0634
SES-100005,2026-08-07 18:34:24,iPhone 15 Pro,v18.2.1,GS-LEO-18,GS-OR-D,Emergency_SOS,10.72,28.8,985.0,0.0934
SES-100006,2026-08-05 23:24:55,iPhone 15 Pro,v18.2.1,GS-LEO-16,GS-TX-A,Roadside_Assistance,10.47,49.7,855.0,0.0258
SES-100007,2026-08-27 11:23:53,Watch Ultra 2,v18.2.1,GS-LEO-20,GS-OR-D,Messages_Satellite,12.5,16.0,962.0,0.0349
SES-100008,2026-08-05 05:17:27,iPhone 17 Pro,v18.2.0-b2,GS-LEO-18,GS-TX-A,Roadside_Assistance,9.49,36.8,895.0,0.1093
SES-100009,2026-08-29 15:58:25,iPhone 17 Pro,v18.2.0-b2,GS-LEO-24,GS-TX-A,Emergency_SOS,5.59,32.9,3990.0,0.0605
SES-100010,2026-08-21 11:34:28,iPhone 15 Pro,v18.1.0,GS-LEO-20,GS-FL-C,Messages_Satellite,9.68,32.3,992.0,0.0949
SES-100011,2026-08-02 13:01:46,Watch Ultra 3,v18.2.1,GS-LEO-14,GS-OR-D,Emergency_SOS,12.31,46.8,995.0,0.0021
