session_id,timestamp,session_date,device_model,firmware_version,satellite_id,ground_station_id,service_type,snr_db,elevation_degrees,handshake_latency_ms,packet_drop_rate,qoe_tier,ml_anomaly_flag,is_anomaly
SES-117919,2026-08-23 03:47:12+00:00,2026-08-23,Watch Ultra 2,v18.2.0-b2,GS-LEO-24,GS-CA-B,Messages_Satellite,8.62,78.5,4267.0,0.0178,Degraded,-1,1
SES-192532,2026-08-25 00:06:48+00:00,2026-08-25,Watch Ultra 2,v18.2.0-b2,GS-LEO-24,GS-CA-B,Emergency_SOS,11.98,59.3,3987.0,0.7702,Degraded,-1,1
SES-144030,2026-08-22 23:58:35+00:00,2026-08-22,Watch Ultra 2,v18.2.0-b2,GS-LEO-24,GS-FL-C,Messages_Satellite,17.14,59.1,3863.0,0.0327,Degraded,-1,1
SES-115793,2026-08-27 00:47:17+00:00,2026-08-27,Watch Ultra 2,v18.2.0-b2,GS-LEO-24,GS-OR-D,Messages_Satellite,8.55,16.2,3747.0,0.0821,Degraded,-1,1
SES-104469,2026-08-17 13:07:26+00:00,2026-08-17,Watch Ultra 2,v18.2.0-b2,GS-LEO-24,GS-CA-B,FindMy_Ping,21.04,80.8,3208.0,0.1383,Degraded,-1,1
SES-111552,2026-08-26 23:27:18+00:00,2026-08-26,Watch Ultra 2,v18.2.0-b2,GS-LEO-24,GS-CA-B,Messages_Satellite,9.58,51.0,3043.0,0.6407,Degraded,-1,1
SES-169823,2026-08-06 08:47:53+00:00,2026-08-06,Watch Ultra 2,v18.2.0-b2,GS-LEO-24,GS-TX-A,FindMy_Ping,15.63,24.3,2312.0,0.3437,Degraded,-1,1
SES-168096,2026-08-19 15:58:36+00:00,2026-08-19,Watch Ultra 2,v18.2.0-b2,GS-LEO-05,GS-CA-B,Messages_Satellite,11.3,26.2,1001.0,0.6215,Degraded,-1,1
SES-154355,2026-08-31 03:08:31+00:00,2026-08-31,Watch Ultra 2,v18.2.1,GS-LEO-05,GS-CA-B,Roadside_Assistance,4.95,84.7,1041.0,0.3729,Degraded,-1,1
SES-106295,2026-08-27 13:41:57+00:00,2026-08-27,Watch Ultra 2,v18.2.1,GS-LEO-05,GS-CA-B,Messages_Satellite,6.64,58.7,1052.0,0.6854,Degraded,-1,1
SES-126230,2026-08-24 17:24:36+00:00,2026-08-24,Watch Ultra 2,v18.1.0,GS-LEO-24,GS-CA-B,Messages_Satellite,4.22,16.0,1063.0,0.5904,Degraded,-1,1
SES-178351,2026-08-06 20:34:37+00:00,2026-08-06,Watch Ultra 2,v18.2.0-b2,GS-LEO-05,GS-CA-B,Emergency_SOS,5.37,45.3,1112.0,0.6502,Degraded,-1,1
SES-142707,2026-08-10 17:49:40+00:00,2026-08-10,Watch Ultra 2,v18.2.1,GS-LEO-24,GS-CA-B,Messages_Satellite,4.86,33.3,1052.0,0.5656,Degraded,-1,1
SES-107136,2026-08-04 22:02:55+00:00,2026-08-04,Watch Ultra 2,v18.2.1,GS-LEO-05,GS-CA-B,Roadside_Assistance,5.78,32.7,1182.0,0.4604,Degraded,-1,1
SES-180905,2026-08-07 16:46:36+00:00,2026-08-07,Watch Ultra 2,v18.1.0,GS-LEO-05,GS-CA-B,Messages_Satellite,2.09,65.0,1220.0,0.5028,Degraded,-1,1
SES-174703,2026-08-03 15:48:56+00:00,2026-08-03,Watch Ultra 2,v18.2.0-b2,GS-LEO-05,GS-CA-B,Messages_Satellite,12.69,67.2,3829.0,0.3951,Degraded,-1,1
SES-124503,2026-08-12 19:34:32+00:00,2026-08-12,Watch Ultra 2,v18.2.0-b2,GS-LEO-05,GS-OR-D,FindMy_Ping,4.97,55.6,4010.0,0.0159,Degraded,-1,1
SES-140870,2026-08-26 01:09:06+00:00,2026-08-26,Watch Ultra 2,v18.2.0-b2,GS-LEO-05,GS-CA-B,Emergency_SOS,11.51,38.0,4126.0,0.2438,Degraded,-1,1
SES-192586,2026-08-21 20:08:36+00:00,2026-08-21,Watch Ultra 2,v18.2.0-b2,GS-LEO-05,GS-CA-B,Emergency_SOS,12.99,74.3,4182.0,0.05,Degraded,-1,1
SES-160057,2026-08-31 21:49:08+00:00,2026-08-31,Watch Ultra 2,v18.2.0-b2,GS-LEO-05,GS-CA-B,Roadside_Assistance,11.96,60.3,4330.0,0.0799,Degraded,-1,1
SES-150502,2026-08-06 17:24:56+00:00,2026-08-06,Watch Ultra 2,v18.2.0-b2,GS-LEO-05,GS-CA-B,Messages_Satellite,8.76,73.3,4352.0,0.557,Degraded,-1,1
SES-192853,2026-08-31 06:57:56+00:00,2026-08-31,Watch Ultra 2,v18.2.0-b2,GS-LEO-05,GS-CA-B,Messages_Satellite,5.56,20.9,4375.0,0.0634,Degraded,-1,1
SES-109358,2026-08-19 12:25:40+00:00,2026-08-19,Watch Ultra 2,v18.1.0,GS-LEO-06,GS-CA-B,Roadside_Assistance,16.21,15.4,754.0,0.5789,Degraded,-1,1
SES-169787,2026-08-16 04:25:21+00:00,2026-08-16,Watch Ultra 2,v18.2.1,GS-LEO-24,GS-CA-B,Messages_Satellite,18.08,67.9,889.0,0.6098,Degraded,-1,1
SES-138037,2026-08-02 06:11:23+00:00,2026-08-02,Watch Ultra 2,v18.2.0-b2,GS-LEO-06,GS-CA-B,Messages_Satellite,11.75,79.8,826.0,0.6715,Degraded,-1,1
SES-120655,2026-08-30 19:27:19+00:00,2026-08-30,Watch Ultra 2,v18.2.0-b2,GS-LEO-24,GS-CA-B,FindMy_Ping,13.7,26.5,853.0,0.6653,Degraded,-1,1
SES-189987,2026-08-06 11:58:52+00:00,2026-08-06,Watch Ultra 2,v18.2.1,GS-LEO-06,GS-CA-B,Messages_Satellite,13.46,24.4,884.0,0.6368,Degraded,-1,1
SES-166608,2026-08-16 17:55:16+00:00,2026-08-16,Watch Ultra 2,v18.2.1,GS-LEO-24,GS-CA-B,Roadside_Assistance,16.66,27.4,720.0,0.605,Degraded,-1,1
SES-102591,2026-08-30 08:50:25+00:00,2026-08-30,Watch Ultra 2,v18.2.0-b2,GS-LEO-24,GS-FL-C,Messages_Satellite,24.47,82.8,541.0,0.1494,Acceptable,-1,1
SES-110858,2026-08-08 13:13:10+00:00,2026-08-08,Watch Ultra 2,v18.2.0-b2,GS-LEO-23,GS-TX-A,Roadside_Assistance,10.02,31.7,4365.0,0.1385,Degraded,-1,1
